store_id,region,daily_sales,daily_cost,u_r
1,East,"{""[1157,1220)"",""[1176,1243)""}","{""[300,363)"",""[319,386)""}",1
1,East,"{""[1542,1563)"",""[1828,1875)""}","{""[409,430)"",""[695,742)""}",2
1,East,"{""[954,1009)"",""[1199,1257)""}","{""[205,260)"",""[450,508)""}",3
1,East,"{""[1039,1107)"",""[1148,1196)"",""[1337,1374)""}","{""[228,296)"",""[337,385)"",""[526,563)""}",4
1,East,"{""[1664,1697)"",""[1759,1796)"",""[1975,2016)""}","{""[493,526)"",""[588,625)"",""[804,845)""}",5
1,East,"{""[997,1039)"",""[1083,1154)"",""[1124,1182)""}","{""[244,286)"",""[330,401)"",""[371,429)""}",6
1,East,"{""[1088,1113)"",""[1169,1196)"",""[1177,1215)""}","{""[369,394)"",""[450,477)"",""[458,496)""}",7
1,East,"{""[1630,1692)"",""[1902,1934)"",""[1967,1991)""}","{""[444,506)"",""[716,748)"",""[781,805)""}",8
1,East,"{""[1102,1176)"",""[1113,1157)"",""[1181,1256)""}","{""[274,348)"",""[285,329)"",""[353,428)""}",9
1,East,"{""[1190,1233)"",""[1288,1321)"",""[1450,1487)""}","{""[332,375)"",""[430,463)"",""[592,629)""}",10
2,East,"{""[1141,1171)"",""[1289,1355)""}","{""[745,775)"",""[893,959)""}",11
2,East,"{""[1684,1718)"",""[1726,1790)"",""[1749,1789)""}","{""[1164,1198)"",""[1206,1270)"",""[1229,1269)""}",12
2,East,"{""[1789,1860)"",""[1890,1962)""}","{""[1147,1218)"",""[1248,1320)""}",13
2,East,"{""[1288,1321)"",""[1545,1621)"",""[1622,1662)""}","{""[814,847)"",""[1071,1147)"",""[1148,1188)""}",14
2,East,"{""[1227,1263)"",""[1356,1432)"",""[1483,1532)""}","{""[786,822)"",""[915,991)"",""[1042,1091)""}",15
2,East,"{""[1302,1379)"",""[1381,1426)"",""[1465,1522)""}","{""[884,961)"",""[963,1008)"",""[1047,1104)""}",16
2,East,"{""[1347,1415)"",""[1561,1612)""}","{""[858,926)"",""[1072,1123)""}",17
2,East,"{""[1070,1130)"",""[1073,1143)""}","{""[682,742)"",""[685,755)""}",18
2,East,"{""[1811,1855)"",""[1919,1968)""}","{""[1220,1264)"",""[1328,1377)""}",19
2,East,"{""[1523,1586)"",""[1813,1879)""}","{""[981,1044)"",""[1271,1337)""}",20
3,East,"{""[704,2113)""}","{""[422,1267)""}",21
3,East,"{""[624,1873)""}","{""[374,1123)""}",22
3,East,"{""[826,2479)"",""[2596,2638)""}","{""[495,1487)""}",23
3,East,"{""[751,2255)"",""[2332,2382)""}","{""[450,1352)""}",24
3,East,"{""[570,1712)"",""[1917,1939)""}","{""[342,1027)""}",25
3,East,"{""[514,1543)"",""[1731,1774)""}","{""[308,925)""}",26
3,East,"{""[812,2438)"",""[2613,2624)""}","{""[487,1462)""}",27
